MSOA21CD_home,county_home,MSOA21CD_work,county_work,count
E02000004,GREATER_LONDON_AUTHORITY,E02000741,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000747,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000763,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000772,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000779,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000808,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000830,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000870,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000878,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000880,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000884,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000888,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000910,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02000976,GREATER_LONDON_AUTHORITY,2
E02000004,GREATER_LONDON_AUTHORITY,E02006854,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02006996,GREATER_LONDON_AUTHORITY,1
E02000004,GREATER_LONDON_AUTHORITY,E02007018,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000001,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000003,GREATER_LONDON_AUTHORITY,1
E02000005,GREATER_LONDON_AUTHORITY,E02000004,GREATER_LONDON_AUTHORITY,2
E02000005,GREATER_LONDON_AUTHORITY,E02000005,GREATER_LONDON_AUTHORITY,13
E02000005,GREATER_LONDON_AUTHORITY,E02000007,GREATER_LONDON_AUTHORITY,8
E02000005,GREATER_LONDON_AUTHORITY,E02000008,GREATER_LONDON_AUTHORITY,9
