MSOA11CD,active_commuters,prop_car,prop_pt,prop_active
E02000572,3209,0.1274540355250857,0.5702711124961047,0.2947958865690246
E02000573,4886,0.09987720016373311,0.5313139582480557,0.36164551780597626
E02000574,4201,0.10307069745298739,0.5044037134015711,0.38681266365151157
E02000575,5802,0.09410548086866598,0.4095139607032058,0.4884522578421234
E02000576,4082,0.1109750122488976,0.4269965703086722,0.45124938755512006
E02000577,2717,0.1910195068089805,0.5649613544350387,0.22892896577107102
E02000578,2136,0.2308052434456929,0.5491573033707865,0.2144194756554307
E02000579,3993,0.2296518908089156,0.5437014775857751,0.21337340345604808
E02000580,4321,0.17195093728303634,0.5906040268456376,0.22726220782226336
E02000581,2726,0.18708730741012472,0.5682318415260454,0.23404255319148937
E02000582,4003,0.16237821633774668,0.6487634274294279,0.17287034723957032
E02000583,3432,0.20337995337995338,0.5932400932400932,0.1858974358974359
E02000584,3839,0.17556655379004948,0.6204740817921334,0.18754884084396978
E02000585,3656,0.22921225382932167,0.5858862144420132,0.16329321663019694
E02000586,3501,0.21908026278206227,0.552984861468152,0.20536989431590974
E02000587,3260,0.21012269938650308,0.5957055214723926,0.17423312883435582
E02000588,3925,0.230828025477707,0.5070063694267516,0.2310828025477707
E02000589,3944,0.17469574036511157,0.6488336713995944,0.15720081135902636
E02000590,3085,0.1811993517017828,0.5815235008103727,0.22042139384116693
E02000591,3334,0.14067186562687461,0.6694661067786443,0.1811637672465507
E02000592,3362,0.1748958953004164,0.6433670434265318,0.16686496133254017
E02000593,4002,0.17391304347826086,0.6516741629185407,0.16141929035482258
E02000594,3250,0.24707692307692308,0.5203076923076924,0.2129230769230769
E02000595,3384,0.24881796690307328,0.5189125295508275,0.2127659574468085
E02000596,3750,0.236,0.5394666666666666,0.2096
E02000597,2958,0.21467207572684247,0.5493576741041244,0.2173766058147397
E02000619,3780,0.11878306878306878,0.5785714285714286,0.294973544973545
E02000620,5024,0.1035031847133758,0.6068869426751592,0.2822452229299363
E02000621,5990,0.0981636060100167,0.672787979966611,0.22287145242070117
E02000622,4601,0.10323842642903716,0.6770267333188438,0.21517061508367746
E02000623,3881,0.1352744138108735,0.6712187580520484,0.1862921927338315
